,Champions,Games Played,Winning Score,Total Kills,Total Deaths,Total Assists,Time Taken,Solo or Pre,Skin Used?,First Bloods,10 Sit ups/Loss,Game 1 Score,Game 1 Time,Game 2 Score,Game 2 Time,Game 3 Score,Game 3 Time,Game 4 Score,Game 4 Time,Game 5 Score,Game 5 Time,Game 6 Score,Game 6 Time,Game 7 Score,Game 7 Time
62,Kindred,3.0,8/3/10,20.0,15.0,19.0,1:21:28,Pogo/Stu,Shadowfire,1.0,20.0,3/7/3,0:21:21,9/5/6,0:32:51,8/3/10,0:27:16,,,,,,,,
63,Kled,1.0,7/0/1,7.0,0.0,1.0,0:15:52,Pogo/Stu,Count Kledula,0.0,0.0,7/0/1,0:15:52,,,,,,,,,,,,
64,Kog'Maw,1.0,4/6/4,4.0,6.0,4.0,0:36:39,Pogo/Stu,Battlecast,0.0,0.0,4/6/4,0:36:39,,,,,,,,,,,,
65,LeBlanc,5.0,5/3/4,17.0,27.0,17.0,1:57:00,Solo,Ravenborn,0.0,40.0,3/6/2,0:25:07,4/5/6,0:25:59,3/7/5,0:22:08,2/6/0,0:24:34,5/3/4,0:19:12,,,,
66,Lee Sin,3.0,4/5/20,17.0,19.0,31.0,1:30:02,Jojo,Traditional,0.0,20.0,13/10/9,0:43:02,0/4/2,0:16:18,4/5/20,0:30:42,,,,,,,,
67,Leona,1.0,1/9/12,1.0,9.0,12.0,0:32:08,Pogo/Stu/Jojo/Bo,Lunar Eclipse,0.0,0.0,1/9/12,0:32:08,,,,,,,,,,,,
68,Lillia,1.0,12/10/24,12.0,10.0,24.0,0:38:22,Pogo/Jojo/Bobby,Nightbringer,0.0,0.0,12/10/24,0:38:22,,,,,,,,,,,,
69,Lissandra,1.0,1/9/8,1.0,9.0,8.0,0:34:55,Pogo,Porcelain,0.0,0.0,1/9/8,0:34:55,,,,,,,,,,,,
70,Lucian,1.0,3/3/2,3.0,3.0,2.0,0:20:11,Pogo,None,0.0,0.0,3/3/2,0:20:11,,,,,,,,,,,,
71,Lulu,3.0,1/9/23,5.0,27.0,59.0,1:36:05,Pogo,Dragon Trainer0,0.0,20.0,2/7/6,0:26:40,2/11/30,0:32:50,1/9/23,0:36:35,,,,,,,,
72,Lux,2.0,6/5/19,14.0,12.0,25.0,1:09:04,Pogo,Lava Falcon,1.0,10.0,8/7/6,0:31:24,6/5/19,0:37:40,,,,,,,,,,
73,Malphite,2.0,2/3/18,4.0,6.0,21.0,0:59:57,Pogo/Jojo,Boatfite,0.0,10.0,2/3/3,0:26:54,2/3/18,0:33:03,,,,,,,,,,
74,Malzahar,1.0,6/7/10,6.0,7.0,10.0,0:28:42,Pogo/Jojo,Overlord,0.0,0.0,6/7/10,0:28:42,,,,,,,,,,,,
75,Maokai,1.0,5/5/19,5.0,5.0,19.0,0:24:01,Pogo/Jojo,Charred,0.0,0.0,5/5/19,0:24:01,,,,,,,,,,,,
76,Master Yi,1.0,8/4/8,8.0,4.0,8.0,0:28:41,Pogo/Jojo,None,0.0,0.0,8/4/8,0:28:41,,,,,,,,,,,,
77,Miss Fortune,2.0,2/0/0,18.0,6.0,15.0,0:47:07,Pogo/Stu,Battle Bunny,0.0,10.0,16/6/15,0:36:51,2/0/0,0:10:16,,,,,,,,,,
78,Mordekaiser,1.0,9/6/8,9.0,6.0,8.0,0:33:29,Pogo/Stu,Infernal,0.0,0.0,9/6/8,0:33:29,,,,,,,,,,,,
79,Morgana,1.0,2/7/17,2.0,7.0,17.0,0:25:51,Pogo/Stu,Coven,1.0,0.0,2/7/17,0:25:51,,,,,,,,,,,,
80,Nami,1.0,3/1/11,3.0,1.0,11.0,0:15:35,Solo,Splendid Staff,0.0,0.0,3/1/11,0:15:35,,,,,,,,,,,,
81,Nasus,2.0,15/2/7,17.0,4.0,7.0,0:53:05,Pogo/Stu/Jojo,Dreadknight,0.0,0.0,3/2/0,0:24:45,15/2/7,0:28:20,,,,,,,,,,
82,Nautilus,1.0,1/3/8,1.0,3.0,8.0,0:19:12,Pogo/Stu/Jojo,Astronautilus,0.0,0.0,1/3/8,0:19:12,,,,,,,,,,,,
83,Neeko,2.0,2/8/8,13.0,17.0,22.0,1:04:17,Pogo,Star Guardian,0.0,10.0,11/9/14,0:42:57,2/8/8,0:21:20,,,,,,,,,,
84,Nidalee,1.0,5/3/4,5.0,3.0,4.0,0:22:56,Pogo,Snow Bunny,1.0,0.0,5/3/4,0:22:56,,,,,,,,,,,,
85,Nilah,1.0,5/0/9,5.0,0.0,9.0,0:22:19,Pogo/Stu/Jojo,None,0.0,0.0,5/0/9,0:22:19,,,,,,,,,,,,
86,Nocturne,1.0,7/1/7,7.0,1.0,7.0,0:20:52,Pogo/Stu/Jojo,Eternum,0.0,0.0,7/1/7,0:20:52,,,,,,,,,,,,
87,Nunu & Willump,3.0,4/3/18,11.0,16.0,33.0,1:08:35,Pogo,None,0.0,20.0,2/4/3,0:16:43,5/9/12,0:27:47,4/3/18,0:24:05,,,,,,,,
88,Olaf,1.0,4/9/5,4.0,9.0,5.0,0:32:23,Pogo,None,1.0,0.0,4/9/5,0:32:23,,,,,,,,,,,,
89,Orianna,2.0,3/7/8,10.0,13.0,12.0,0:54:27,Pogo,Bladecraft,0.0,10.0,7/6/4,0:25:55,3/7/8,0:28:32,,,,,,,,,,
90,Ornn,1.0,2/5/4,2.0,5.0,4.0,0:31:47,Pogo/Stu,Thunderlord,0.0,0.0,2/5/4,0:31:47,,,,,,,,,,,,
